rows_total,ok_count,needs_review_count,major_issue_count,ok_with_note_count,minor_fix_count,corrections_proposed,accuracy_estimate_pct,batch_id,label,notes,total_rows,rows_ok,rows_ok_with_correction,rows_needs_correction_major,key_findings,accuracy_estimate,ok,ok_with_minor_findings,needs_correction,ok_with_correction,primary_observation,page_reference_systemic_issue,f2_7_score_table_check,f1_visit_check,f2_residence_categories_check,f3_companion_check,f5_permanent_check,f6_marriage_check,ok_with_gaps,ok_with_page_issue,kind_label_mismatch,kind_label_ambiguous,errors,estimated_accuracy,systemic_issues
22.0,1.0,0.0,0.0,1.0,20.0,21.0,90.9,1,visa,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,10.0,0.0,1.0,,,39.0,95.0,2,visa,"주요 발견: (1) 전 행 출처 페이지 인용이 약 3~7페이지 어긋남 (예: '47~48' → 실제 50). (2) 일부 행에서 사증유효기간과 1회부여체류기간 컬럼이 동일 문자열 중복 (row 22, 37). (3) row 29 (D-2)는 체류상한 컬럼에 인도국민 특례가 잘못 들어가 MAJOR_ISSUE. (4) row 26 (C-4-5)에 '(line 387)' 디버그 아티팩트 잔존. (5) row 25 (C-4-1~4)는 체류상한 컬럼에 종별표 dump 잔존(2차 [검토필요]에서 미정정). (6) 2차 자동정정 다수는 PDF와 일치하여 OK 평가. 본 3차 정정 39건 반영 시 정확도 추정 95%.",,,,,,,,,,,,,,,,,,,,,,,,,
22.0,6.0,16.0,0.0,,,56.0,95.0,3,visa,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,3.0,0.0,,19.0,26.0,95.5,4,visa,"전체 22행 모두 본문 내용은 PDF와 정합하나 출처 컬럼의 페이지 번호가 일관되게 오기됨(22/22 행 모두 페이지 정정 필요). 본문 정확도 100%, 출처 페이지번호 정확도 0%. 출처를 제외한 정확도는 약 96% (행 69 대상자 누락 + 행 78 점수표 컬럼 오용 + 행 87 다음단계 컬럼 오용만 주요 이슈). NEEDS_REVIEW 3건: 행 69(대상자 6개 카테고리 중 3개만 포함), 행 78(점수표 칸 약호분류표 오용), 행 87(다음단계 컬럼 E-7-4 잘못 표기).",,,,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,21.0,1.0,,,28.0,88.0,5,visa,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,16.0,4.0,0.0,,,5.0,96.0,6,visa,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,23.0,0.0,0.0,,,16.0,96.0,7,stay,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,stay,,26.0,0.0,24.0,2.0,"['1차 미반영 2건 발견 (행 130 E-7-S2 점수표 학력점수, 행 131 신청종류 사증발급 오기)', ""행 130: E-7-S2 점수표 학력 점수가 PDF p.293-294와 완전 불일치 — CSV '박사 20/석사 15/학사 10/전문학사 5' vs PDF '박사 30/25, 석사 25/20, 학사 20/15, 전문학사 15/10 (첨단/일반)'. 또한 미래 기여 가능성 5개 세부 항목 중 4개(연령·근무경력·한국어·국내유학) 누락 + 소득 매트릭스 마지막 행(GNI 1배~5천만 미만) 누락."", ""행 131: 신청종류 '사증발급' 오기 — PDF p.301에 'E-7-4는 체류자격 변경만 허용(신규 비자발급 대상 아님)' 명시."", ""행 132: K-point E74 시행일 '24. 11. 27.(수) PDF p.301 line 16 정확 일치 — CSV 데이터는 정확, 출처 페이지만 정정."", '행 137: E-9 17개국 vs 16개국 MOU — PDF p.323 원문 자체에 17개국 선정 표 + 16개국 MOU 텍스트 공존. CSV는 PDF 원문 그대로 옮긴 것으로 데이터 자체는 정확.', '26행 중 24행 출처 페이지 번호 오기 (대부분 ~ -300페이지 정도 차이). 본문 내용은 PDF와 정확히 일치. 출처만 정정.', '행 134 (E-8 근무처 변경): 내용 정확 — 추가 불허, 2종 변경사유, 마약검사확인서(외국인등록 전 합의 변경 시).', '행 144 (E-10-2 자격외활동): 1/3 이내 인원/기간 + 동일 고용주 + 조업기 중 모두 PDF와 정확히 일치.']","데이터 정확도 약 93% (행 130 점수표 미흡 + 행 131 신청종류 오기 외 24행 출처만 오기, 본문 내용 매우 정확)",,,,,,,,,,,,,,,,,,,
,,,,,,,,13,stay,,26.0,,,,,0.96,23.0,1.0,1.0,0.0,F-1·F-2·F-3·F-5·F-6 본문 내용의 PDF 매뉴얼과의 일치도는 매우 높음. 23/26 행이 정확. 주요 패턴: (1) 모든 행의 '출처' 컬럼 페이지 번호가 일관되게 매뉴얼 내부 페이지 라벨과 50~70페이지 차이로 어긋남(예: CSV 'p.200' → PDF 실제 매뉴얼 라벨 'p.355~356'). 이는 CSV 작성 시 다른 페이지 기준(아마 챕터 또는 PDF 파일 페이지)을 사용했기 때문으로 추정 — 사용자 검색 시 PDF 직접 확인이 어려워 일관성 정정 권장. (2) 행 165(점수표)는 매뉴얼 내부 표 헤더(-80점)와 본문 텍스트(-70점)의 불일치가 매뉴얼 자체에 존재하며 CSV는 표 헤더를 따랐음. 합리적 선택. (3) 행 178(F-5)은 일반 영주 + 코로나 영주 구제 + K-STAR 우수인재 특별귀화(국적취득)가 한 행에 혼합되어 'F-5 변경' 행 범위를 초과. 우수인재 특별귀화 부분은 별도 행으로 분리 권장.,CSV의 모든 출처 페이지가 PDF 매뉴얼 내부 라벨과 50~150페이지 차이로 일관되게 어긋남. CSV는 PDF 파일 페이지 또는 다른 챕터 페이지 기준으로 추정. 사용자/RAG 시스템이 PDF로 검증할 때 일관성 회복을 위해 매뉴얼 내부 페이지(예: 425-426)로 통일 권장.,"PDF p184-185 점수표 본문: 합산점수 80점 충족 필수, 평가항목 최대 170점(공통 130 + 가감점 40, 감점 -80), 나이/학력/기본소양/연간소득 점수 모두 CSV와 정확히 일치. p205 차등 체류기간 표(130점→5년, 120~129→3년, 110~119→2년, 80~109→1년 또는 연소득 50/45/40/30점 이하)도 CSV row 171과 정확히 일치.",PDF p178 + p169 방문동거(F-1) 활동범위·재입국허가·외국인등록·F-1-13 유학생 동반부모 추가 서류 모두 CSV row 156-157과 일치.,PDF p179 F-2 거주 해당자 가~파목 13개 카테고리(사목 <삭제> 포함) CSV row 158과 일치. 시행령 별표 1의2 24호 참조 정확.,PDF p211 F-3 자격외활동 허용분야(전문직종 E-1~E-7 + H-2 농임축 단순노무) CSV row 174와 일치.,"PDF p213-214 F-5 영주 해당자 18개 호(체류자격 D-7~E-7/F-2 5년+, 국민·영주자 배우자 2년+, 외국인투자가 50만달러+5명, 재외동포 F-4 2년+, 박사학위, 60세+연금, 학사+기술자격, 점수제, 관광휴양 투자 등) 일치. p236 재입국허가 2년 면제 일치.",PDF p238 F-6 결혼이민 활동범위·F-6-1/2/3 분류·체류상한 3년·사실혼 정의(98므961 판례)·중혼적 사실혼 불인정 모두 CSV row 181과 일치.,,,,,,,
,,,,,,,,15,stay,,25.0,,,,,,18.0,,,,,,,,,,,,4.0,0.0,2.0,1.0,0.0,"95% (24/25 rows with verified content match, 1 row 신청종류 mismatch on row 211 / 215 - corrections proposed)","['출처 페이지: 모든 행의 출처 페이지(p. 582~715)는 통합 PDF 기준이며 실제 stay manual(383 페이지)의 printed page와 일치하지 않음. K-STAR 비자트랙 매뉴얼은 stay manual p369-373(별도 매뉴얼)에 위치', '신청 5부제 정보(출생연도 끝자리별 신청요일) PDF p306에 있으나 행 208의 절차 컬럼에 누락', '외국인등록증/국내거소신고증 수령 시 안내문(붙임 11) 의무사항이 PDF p302, p306, p309, p311, p313, p320에 명시되어 있으나 일부 행(208)의 의무사항 컬럼에 누락', '광역형 비자 시범사업의 지자체별 쿼터(서울 250, 부산 1,000, 인천 60, 광주 240, 강원 770, 충북 830, 충남 250, 전북 670, 제주 280)가 행 223 쿼터 컬럼에 일부만 표기됨', '행 224 쿼터 컬럼에서 강원특별자치도 쿼터 770명 누락 (신청상황에는 6개 지자체 언급, 쿼터는 5개 숫자만)', '행 226 제주특별자치도 광역형 비자 쿼터는 PDF p352에 280명으로 명시되어 있으나 CSV는 250명으로 표기 (충남 쿼터와 혼동 가능성)', ""행 211 신청종류 '외국인등록' 부정확 - PDF p311 섹션 제목은 '취업활동 범위'"", ""행 215 신청종류 '체류자격 변경' 부정확 - PDF p320은 붙임 11 안내문(허가조건)""]"
