record_id,source_dataset,code_type,primary_code,primary_name_ko,source_section_title,user_situation_tags,intent_keywords,applicant_profile,current_location_context,current_status_context,plain_language_summary,required_user_info,routing_hint,answer_focus,search_text
stay-00000-공통,stay_manual_semantic_clean.csv,stay_status,공통,공통사항,공통사항: 각종 체류허가 등에 관한 심사수수료,- 공통사항,"- 체류 신청 수수료 얼마
- F-6 결혼이민 비자 수수료
- 영주권 신청 비용
- 체류 자격 변경 비용
- 외국인등록증 발급 비용",외국인 본인 또는 대리인,국내 체류 중 민원,장기체류자격 외국인,체류자격 외 활동·근무처 변경·체류자격 부여/변경·기간연장·재입국허가·외국인등록증 발급 등 각종 체류 민원 수수료 안내,"- 신청하려는 민원 유형
- 결혼이민(F-6) 또는 영주(F-5) 여부",체류민원 / 공통사항,수수료,체류 수수료 12만원 10만원 6만원 8만원 3만5천원 외국인등록증 체류기간 연장 자격변경 결혼이민 영주
stay-00001-공통,stay_manual_semantic_clean.csv,stay_status,공통,공통사항,공통사항: 여권 유효기간 범위 내 체류기간 부여,- 공통사항,"- 여권 유효기간 짧은데 체류 가능한가
- 여권 곧 만료되는데 체류기간 연장
- 체류기간 부여 기준",장기체류자격 외국인,국내 체류 중 민원,여권 유효기간이 짧은 외국인,체류기간은 원칙적으로 여권 유효기간 범위 내 부여 (외교·공무·협정·영주·난민 제외),"- 여권 잔여 유효기간
- 체류자격
- 민원유형","체류민원 / 공통사항, 체류기간 연장, 체류자격 변경","기간, 요건",여권 유효기간 체류기간 6개월 1년 부여 기준 재발급 변경 연장
stay-00002-공통,stay_manual_semantic_clean.csv,stay_status,공통,공통사항,공통사항: 직업 및 연간소득금액 신고 의무,"- 취업/고용
- 공통사항","- 외국인 직업 신고
- 연간 소득금액 신고
- 직업 변경 신고
- 소득금액증명",취업 가능 체류자격 외국인,국내 체류 중 민원,"주재 D-7, 기업투자 D-8, 무역경영 D-9, 교수 E-1~E-10, 거주 F-2, 재외동포 F-4, 결혼이민 F-6, 방문취업 H-2",취업 가능 체류자격자는 직업과 연간 소득금액을 출입국·외국인관서에 신고해야 합니다,"- 현재 체류자격
- 직업 변경 여부
- 신고 시점","체류민원 / 공통사항, 외국인등록","신고의무, 제출서류",외국인 직업 신고서 연간 소득 외국인등록 자격변경 자격외 활동 근무처 변경 직업 변경
stay-00003-공통,stay_manual_semantic_clean.csv,stay_status,공통,공통사항,공통사항: 만 6세 이상 만 18세 이하 재학증명서 제출 의무,- 공통사항,"- 외국인 자녀 학교 신고
- 미성년 외국인 재학증명서
- 초중고 외국인 학생 등록",만 6-18세 외국인 본인 또는 부모,국내 체류 중 민원,체류자격 외국인 중 미성년자,만 6-18세 외국인은 초·중·고 재학 여부를 신고해야 합니다 (재학증명서 제출),"- 자녀 나이
- 재학 학교
- 입학 또는 변경 시점","체류민원 / 공통사항, 외국인등록","신고의무, 제출서류",재학증명서 만 6세 만 18세 초등학교 중학교 고등학교 학교 변경 외국인등록 미취학
stay-00004-공통,stay_manual_semantic_clean.csv,stay_status,공통,공통사항,공통사항: 외국인 결핵진단서 제출 의무,"- 공통사항
- 결핵검진","- 결핵진단서 어디서 받나
- 베트남에서 한국 장기비자
- 결핵 고위험국가 비자
- 사증 신청 결핵검사 면제",결핵 고위험국가 35개국 국민,입국 전 사증 신청 또는 국내 체류 중 민원,장기체류 사증 신청자 또는 단기체류 자격 변경 신청자,결핵 고위험국가 35개국 국민은 90일 초과 사증 신청·외국인등록·체류허가 시 결핵진단서 제출,"- 국적
- 체류 목적 (90일 초과 여부)
- 이전 결핵진단서 제출 이력","체류민원 / 공통사항, 외국인등록, 체류자격 변경, 체류기간 연장","제출서류, 제한사항, 예외",결핵진단서 결핵 고위험국가 35개국 베트남 중국 인도네시아 외국인등록 사증발급 적용제외 외교 공무 협정 임신부
stay-00005-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 자격 해당자 및 활동범위,- 공무/외교,"- 외교관 가족 한국 체류
- 외교 비자 A-1 대상자
- 국제기구 직원 한국",외교관 또는 외교사절단 가족,입국 전 사증 신청 또는 국내 주재 중,"외교사절단·영사기관 구성원, UN 사무총장 등 국제기구 고위 직원","외교사절단·영사기관 구성원과 그 가족, 그리고 외교사절과 동등한 특권 면제를 받는 자에게 부여되는 체류자격","- 본인 또는 가족 지위
- 체류 기간
- 소속 국가/국제기구",체류민원 / 공통사항,"대상, 기간",외교 A-1 외교사절단 영사기관 UN 국제기구 재임기간 외교관 가족 배우자 자녀
stay-00006-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 체류자격외 활동허가,"- 공무/외교
- 취업/고용
- 자격외활동","- 외교관 가족 한국 취업
- 주한외국공관 가족 일자리
- 외교부 고용추천서
- 미국 대사관 가족 취업",주한외국공관원 가족 또는 국제기구 직원 동반가족,국내 체류 중 민원,외교(A-1) 자격 소지자의 가족,주한외국공관원 가족과 국제기구 직원 동반가족이 한국에서 취업하려면 외교부 고용추천서를 받아 체류자격외 활동허가를 받습니다,"- 공관원과의 관계
- 취업 분야
- 취업 국가별 협정 적용 여부",체류민원 / 체류자격외 활동허가,"절차, 제출서류, 제한사항",외교 A-1 자격외 활동 외교부 고용추천서 주한외국공관 미국 캐나다 영국 일본 D-1 E-1 E-7 E-6-2 제외 12만원
stay-00007-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 체류자격 부여 (출생자),"- 공무/외교
- 가족초청/동반","- 외교관 자녀 출생 체류자격
- 외교 자격 신규 부여
- 출생일 90일 이내 신청",외교관 부모가 한국 내 출생 자녀,국내 체류 중 민원,외교(A-1) 자격 소지자의 출생 자녀,외교관 가족 자녀가 한국에서 출생한 경우 출생일부터 90일 이내 체류자격 부여 신청,"- 자녀 출생일
- 부모 외교관 신분
- 대사관 협조 가능 여부",체류민원 / 체류자격 부여,제출서류,외교 A-1 체류자격 부여 출생 90일 신청서 출생증명서 대사관 협조공한 외국공관원 신분증
stay-00008-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 체류자격 변경허가,"- 공무/외교
- 자격변경","- 외교 자격으로 변경
- 외교사절 가족 자격변경
- 동반가족 A-1 변경",외교사절·영사기관 구성원 또는 그 동반가족,국내 체류 중 민원,외교(A-1) 자격 이외의 자격으로 입국한 외교 관계자,외교사절단·영사기관 구성원과 동반가족이 다른 자격으로 입국 후 외교(A-1) 자격으로 변경,"- 현재 체류자격
- 외교관과의 관계
- 파견·재직 증빙 가능 여부",체류민원 / 체류자격 변경,"제출서류, 기간",외교 A-1 자격변경 외교사절단 영사기관 동반가족 배우자 자녀 부모 신청서 자국 대사관 협조공문 파견 재직 증명
stay-00009-A-1,stay_manual_semantic_clean.csv,stay_status,A-1,외교,A-1 외교 / 체류기간 연장허가,"- 공무/외교
- 기간연장","- 외교 체류기간 연장
- 재임기간 내 연장",외교 자격 소지자,국내 체류 중 민원,현재 외교(A-1) 자격으로 체류 중,재임기간 범위 내에서 체류기간 연장 (수수료 면제),"- 재임기간
- 현재 체류기간 만료일",체류민원 / 체류기간 연장,"제출서류, 기간",외교 A-1 체류기간 연장 재임기간 수수료 면제
