label,orig_row_index,column,current,suggested,rationale,verify_method,verdict
visa,2,출처,A-2 공무 / 사증발급 (p. 8~9),A-2 공무 / 사증발급 (p. 10~12),"PDF p.10에 공무(A-2) 활동범위/해당자 시작. p.11에 첨부서류, p.12에 부속내용. p.8~9는 A-1 끝부분.",grep '공 무(A-2)' /tmp/pdf_text/visa_pages/p010.txt 확인,MINOR_FIX
visa,3,비자코드,"A-3 (A-3-99 (Fulbright 협정 대상자에 대한 복수사증, 체류기간 및 유효기간은 한미교류재단 협조공한 상의 장학금 수혜기간))",A-3,"비자코드 컬럼에는 코드만, Fulbright A-3-99 상세는 신청상황·사증유효기간 컬럼으로 분리 (이미 분리되어 있음). 별도 행 분리 검토.",노션 DB 가독성 정책 결정,MINOR_FIX
visa,4,출처,B-1 사증면제 (p. 13~15),B-1 사증면제 (p. 14~21),"PDF p.13은 A-3 협정 페이지. B-1 활동범위/해당자 p.14, 체류상한·참고사항 p.15, 사증면제협정 체결국가 일람표 p.16~21.",grep '사증면제(B-1)' /tmp/pdf_text/visa_pages/p014.txt,MINOR_FIX
visa,5,출처,B-2 관광통과 (p. 21),B-2 관광통과 (p. 22~24),p.21은 B-1 사증면제협정 국가 일람표의 마지막 페이지. B-2는 p.22(매뉴얼)부터 시작하고 무사증입국 허가국가 일람표가 p.23~24에 있음.,grep '관광통과(B-2)' /tmp/pdf_text/visa_pages/p022.txt,MINOR_FIX
visa,6,출처,B-2 관광통과 / 사증발급인정서 (p. 21),B-2 관광통과 / 사증발급인정서 (p. 22),"PDF p.22 line 27에 '사증면제(B-1), 관광통과(B-2) 자격은 사증발급인정서 발급 제외대상임' 명시. 1차에서 p.15 → p.21로 정정했지만 실제 페이지는 p.22.",grep '사증발급인정서 발급 제외대상' /tmp/pdf_text/visa_pages/p022.txt,MINOR_FIX
visa,7,출처,C-1 일시취재 (p. 24),C-1 일시취재 (p. 25~26),p.24는 무사증입국 허가대상 국가 일람표(B-2). C-1 일시취재 본문은 p.25(활동범위/해당자/체류상한/사증발급/첨부서류)와 p.26(사증발급인정서)에 있음.,grep '일시취재(C-1)' /tmp/pdf_text/visa_pages/p025.txt,MINOR_FIX
visa,8,출처,C-1 일시취재 / 사증발급인정서 (p. 24),C-1 일시취재 / 사증발급인정서 (p. 25~26),PDF p.24는 B-2 무사증입국 국가표. C-1 사증발급인정서는 p.25 line 35~38(시작)과 p.26 본문에 있음.,grep '특정국가 국민' /tmp/pdf_text/visa_pages/p025.txt,MINOR_FIX
visa,9,출처,C-3 단기방문 (p. 24~26),C-3 단기방문 (p. 27~30),"p.24~26은 B-2 무사증/C-1 영역. C-3 단기방문 활동범위/해당자/체류상한 p.27, 세부 약호표 p.27~28, 전자사증 p.28, 단기일반(C-3-1) 발급대상/내용 p.29~30.",grep '단기방문(C-3)' /tmp/pdf_text/visa_pages/p027.txt,MINOR_FIX
visa,10,출처,C-3 단기방문 / 전자사증 (p. 26~27),C-3 단기방문 / 전자사증 (p. 28~29),PDF p.26~27은 C-1 사증발급인정서/C-3 단기방문 시작 페이지. 전자사증 제도 본문은 p.28(line 10~)부터 p.29 단체관광객까지.,grep '전자사증' /tmp/pdf_text/visa_pages/p028.txt,MINOR_FIX
visa,11,출처,C-3-2 단체관광 등 (p. 28),C-3-2 단체관광 등 (p. 30),p.28은 C-3 세부 약호 약식 표(C-3-1~C-3-10 분류 행)와 전자사증 시작. 단체관광(C-3-2) 발급대상/내용/서류는 p.30 line 7~28.,grep '단체관광 등(C-3-2)' /tmp/pdf_text/visa_pages/p030.txt,MINOR_FIX
visa,12,출처,C-3-4 일반상용 (p. 28~29),"C-3-4 일반상용 + 한·인도 CEPA (p. 30~31, p. 42~44)",C-3-4 일반상용 본문은 p.30 line 29~p.31. ABTC 제도 p.31. 한·인도 사증절차간소화협정 5년/3년/1년 복수사증은 p.42~44.,grep '일반상용(C-3-4)' /tmp/pdf_text/visa_pages/p030.txt,MINOR_FIX
visa,13,출처,C-3-5 협정상 일반상용 (p. 29~30),C-3-5 협정상 일반상용 (p. 31~32),PDF p.31 line 27~p.32 line 9에 협정상 일반상용(C-3-5) 본문.,grep '협정상 일반상용(C-3-5)' /tmp/pdf_text/visa_pages/p031.txt,MINOR_FIX
visa,14,출처,C-3-9 일반관광 (p. 30),C-3-9 일반관광 (p. 32),PDF p.32 line 12~33에 일반관광(C-3-9) 본문. p.30은 단체관광(C-3-2)+일반상용(C-3-4) 시작.,grep '일반관광(C-3-9)' /tmp/pdf_text/visa_pages/p032.txt,MINOR_FIX
visa,15,출처,C-3-10 순수환승 (p. 30~31),C-3-10 순수환승 (p. 32~33),PDF p.32 line 34~ p.33 line 12에 순수환승(C-3-10) 본문. 1차 자동정정(p.26→p.30~31)은 잘못된 방향이었음.,grep '순수환승(C-3-10)' /tmp/pdf_text/visa_pages/p032.txt,MINOR_FIX
visa,16,출처,C-3 단기방문 / 더블사증 (p. 30~32),C-3 단기방문 / 더블사증 (p. 33),PDF p.33 line 20~36에 '2회 유효 복수사증(더블사증) 발급지침' 본문.,grep '더블사증' /tmp/pdf_text/visa_pages/p033.txt,MINOR_FIX
visa,17,출처,"C-3 복수사증 (중국·몽골·동남아·자원외교 등, p. 32~38)","C-3 복수사증 (중국·몽골·동남아·자원외교 등, p. 33~41)","PDF p.32는 일반관광(C-3-9)/순수환승(C-3-10) 끝. 복수사증 발급지침은 p.33부터 시작. 중국 p.33~36, 몽골 p.36~38, 동남아 p.38~40, 자원외교 p.40~41. p.42부터는 결혼이민자/중국동포 등.",grep '복수사증' /tmp/pdf_text/visa_pages/p033.txt + p.41,MINOR_FIX
visa,18,출처,C-3-1 결혼이민자 및 국적취득자 가족 특례 (p. 39~40),C-3-1 결혼이민자 및 국적취득자 가족 특례 + 빈번출입국자 복수사증 (p. 41~42),PDF p.41 line 26~p.42 line 1에 결혼이민자 가족 특례(C-3-1) 발급대상/내용/제출서류 본문.,grep '결혼이민자' /tmp/pdf_text/visa_pages/p041.txt,MINOR_FIX
visa,19,출처,C-3-8 중국동포 복수사증 (p. 40),C-3-8 중국동포 복수사증 (p. 42),PDF p.42 line 2~29에 중국동포에 대한 복수사증발급(C-3-8) 본문. p.40은 몽골/베트남 복수사증 부분.,grep '중국동포' /tmp/pdf_text/visa_pages/p042.txt,MINOR_FIX
visa,20,출처,C-3-1 관광·휴양시설 투자이민자 (p. 43~44),C-3-1 관광·휴양시설 투자이민자 + 공익사업 투자외국인 (p. 46~48),"PDF p.46 line 1~p.47 line 11에 관광·휴양시설 투자이민자(C-3-1), p.47 line 12~p.48 line 50에 공익사업 투자외국인(C-3-1) 본문. p.43~44는 한·인도 사증절차간소화협정(C-3-4).",grep '관광·휴양시설 투자이민자' /tmp/pdf_text/visa_pages/p046.txt,MINOR_FIX
visa,21,출처,C-3-3 의료관광 유치기관 초청 (p. 44~47),C-3-3 의료관광 유치기관 초청 (p. 49~50),PDF p.49 line 1~46 + p.50에 의료관광 유치기관 초청(C-3-3) 본문. p.44~47은 한·인도 CEPA/투자이민자.,grep '의료관광 유치기관' /tmp/pdf_text/visa_pages/p049.txt,MINOR_FIX
visa,22,사증유효기간,"체류자격 우대기업초청 단기상용(C-3-6), 체류기간 90일, 유효기간 1년 복수사증",유효기간 1년 (복수사증),"PDF p050: '체류자격 우대기업초청 단기상용(C-3-6), 체류기간 90일, 유효기간 1년 복수사증' - 사증유효기간 컬럼에는 '유효기간 1년 복수사증'만",PDF p050 '나. 사증발급인정서 발급 내용' 직접 인용,MINOR_FIX
visa,22,1회부여 체류기간,"체류자격 우대기업초청 단기상용(C-3-6), 체류기간 90일, 유효기간 1년 복수사증",90일,PDF p050: 체류기간 = 90일,PDF p050 직접 인용,MINOR_FIX
visa,22,출처,C-3-6 우대기업 초청 (p. 47~48),p.50 (표 p.27),"C-3-6 본문은 PDF p.50, 단기방문 약호표는 p.27","grep 'C-3-6' /tmp/pdf_text/visa_pages → p027, p033, p050",MINOR_FIX
visa,23,절차,,재외공관 사증발급 신청(공관장 재량 카테고리) 또는 사증발급인정서 신청·발급(계절근로/특정국가) → 사증발급 신청·발급 → 입국,PDF p051~052에 공관장 재량 6개 카테고리와 인정서 분기 명시,"PDF p051~052 '공관장 재량으로 발급할 수 있는 사증', '사증발급인정서 발급대상' 섹션 직접 인용",MINOR_FIX
visa,23,출처,C-4 단기취업 (p. 48~49),p.51~52,C-4 활동범위·상한·공관장 재량 카테고리는 p.51~52,"grep 'C-4' /tmp/pdf_text/visa_pages → p051, p052",MINOR_FIX
visa,24,사증유효기간,"체류기간 90일 이하 복수사증
체류기간 90일 이하 단수사증",첨단기술·강의·연구·파견: 체류기간 90일 이하 복수사증 / 영어캠프·일시흥행·기타 C-4-5: 체류기간 90일 이하 단수사증,PDF p052(첨단기술 복수)와 p057~058(강의·기타 단수) 구분,PDF p052 '아래 대상자에 대한 체류기간 90일 이하의 복수사증' / p058 '체류기간 90일 이하의 단수사증' 직접 인용,MINOR_FIX
visa,24,1회부여 체류기간,"체류기간 90일 이하 복수사증
체류기간 90일 이하 단수사증",90일 이하,복수/단수는 사증유효기간 컬럼의 사증 종류 정보. 1회 체류기간은 단일,PDF p051 '1회 부여 체류기간의 상한 90일',MINOR_FIX
visa,24,출처,C-4-5 첨단기술분야 단기취업 (p. 49),p.52~58,C-4-5 공관장 재량 6개 카테고리는 p.52~058,PDF p052~058 직접 확인,MINOR_FIX
visa,25,체류상한,"C-4-1(단수, MOU 외국지자체 추천, 농업, 최대 90일)
C-4-2(단수, 결혼이민자 추천, 농업, 최대 90일)
C-4-3(단수, MOU 외국지자체 추천, 어업, 최대 90일)
C-4-4(단수, 결혼이민자 추천, 어업, 최대 90일)",90일 (C-4 상한),체류상한은 단일값. PDF p051 C-4 모표 '1회 부여 체류기간의 상한 90일',PDF p051 직접 인용,MINOR_FIX
visa,25,출처,C-4-1~4 계절근로 사증발급인정서 (p. 55~56),p.58~59,계절근로 인정서는 PDF p.58~59,"grep '계절근로' /tmp/pdf_text/visa_pages → p051, p058, p059",MINOR_FIX
visa,26,자격요건,C-4-5(계절근로외 단기취업) 활동범위 해당자 - 일시흥행·광고·패션·강의·강연·연구·기술지도·파견 등 (line 387),C-4-5(계절근로외 단기취업) 활동범위 해당자 - 일시흥행·광고·패션·강의·강연·연구·기술지도·파견 등,'(line 387)' 디버그 아티팩트 제거,문자열 직접 비교,MINOR_FIX
visa,26,출처,C-4-5 특정국가 국민 사증발급인정서 (p. 56),p.59,특정국가 인정서는 PDF p.59 하단,grep '특정국가' /tmp/pdf_text/visa_pages → p059,MINOR_FIX
visa,27,절차,,재외공관 사증발급 신청(공관장 재량) → 발급 → 입국 (한국국제교류재단·한국문화예술위원회 초청에 한함),PDF p060 공관장 재량 발급 흐름,PDF p060 '공관장 재량으로 발급할 수 있는 사증' 섹션 직접 인용,MINOR_FIX
visa,27,1회부여 체류기간,2년 (체류기간 상한); 공관장 발급은 1년 이하 단수,1년 이하 (공관장 재량 발급),체류상한 컬럼이 별도 있음. 1회 부여 체류기간은 실제 부여값 = 1년 이하 단수,PDF p060 '체류기간 1년 이하의 단수사증',MINOR_FIX
visa,27,출처,D-1 문화예술 (p. 56~57),p.60~61,D-1 본문은 PDF p.60~61,"grep '문화예술' /tmp/pdf_text/visa_pages → p060, p061",MINOR_FIX
visa,28,출처,D-1 문화예술 / 사증발급인정서 (p. 57),p.60~61,인정서 발급대상은 PDF p.60 하단~p.61,grep '사증발급인정서' /tmp/pdf_text/visa_pages/p060.txt p061.txt,OK_WITH_NOTE
visa,29,체류상한,"인도국민 D-2-1, D-2-5: 체류기간 2년, 유효기간 5년 복수 (교육기간이 5년 미만은 교육기간 동안 유효 복수)",2년,PDF p062 '1회 부여 체류기간의 상한 2년'. 인도국민 특례는 사증유효기간 컬럼으로 이동,PDF p062 직접 인용,MAJOR_ISSUE
visa,29,1회부여 체류기간,"2년
D-2-1~D-2-4 (전문학사~박사): 체류기간 2년 이내, 단수
... (전체 표 dump)",2년 (D-2 상한),1회부여 체류기간은 단일값. 발급내용 표는 사증유효기간 컬럼에 이미 있음,PDF p062 체류기간 상한 / p067 발급내용 표,MAJOR_ISSUE
visa,29,출처,D-2 유학 (p. 59),p.62~67,"D-2 활동범위·상한·세부약호는 p.62, 사증발급 일반·발급내용 표는 p.67","grep '유학' /tmp/pdf_text/visa_pages → p062, p067, p068, p069",MAJOR_ISSUE
visa,30,출처,D-2 유학 / 사증발급인정서 (p. 63),p.68,D-2 인정서 발급대상은 PDF p.68,PDF p068 '사증발급인정서 발급대상' 섹션,MINOR_FIX
visa,31,출처,D-2 유학 / 전자비자 (p. 63~64),p.68~69,전자비자 섹션은 PDF p.68 하단~p.69,grep '전자비자' /tmp/pdf_text/visa_pages → p068,OK_WITH_NOTE
visa,32,출처,D-3 기술연수 (p. 64~65),p.70,D-3 기술연수 본문은 PDF p.70,grep 'D-3' /tmp/pdf_text/visa_pages → p070,OK_WITH_NOTE
visa,33,출처,D-3 기술연수 / 사증발급인정서 (p. 65~66),p.70~72,D-3 인정서 본문·서류는 p.70~72,PDF p070~072,OK_WITH_NOTE
visa,34,출처,D-4 일반연수 (p. 67~68),p.73,D-4 일반연수 모표는 PDF p.73,PDF p073 'D-4 일반연수' 헤더,MINOR_FIX
visa,35,출처,D-4-1 어학연수 (한국어연수) (p. 68),p.73~74,D-4-1 한국어 어학연수 공관장 발급은 p.73~74,PDF p073~074,OK_WITH_NOTE
visa,36,출처,D-4-3 고등학교 이하 유학생 사증발급 (p. 68~70),p.75,21개국 외 D-4-3 사증발급은 PDF p.75,PDF p075 '2. 고등학교 이하 교육기관 유학생' 섹션,OK_WITH_NOTE
visa,37,1회부여 체류기간,체류기간 6개월 이하 단수 일반연수(D-4) 사증발급인정서,6개월 이하,1회 체류기간 단일값. 사증 종류 정보는 사증유효기간 컬럼에 보존,PDF p076 '체류기간 6개월 이하 단수 일반연수(D-4) 사증발급인정서',OK_WITH_NOTE
visa,37,출처,D-4-1 어학연수 / 사증발급인정서 (p. 70),p.75~76,D-4-1 인정서 발급대상·서류는 p.75~76,PDF p075~076,OK_WITH_NOTE
visa,38,출처,D-4-2K 기업 맞춤형 인턴십 (p. 70~71),p.76~78,D-4-2K 본문은 PDF p.76~78,PDF p076~078 '기업 맞춤형 인턴십' 섹션,OK_WITH_NOTE
visa,39,출처,D-4-3 고등학교 이하 자비유학생 사증발급인정서 (p. 71~73),p.79~81,D-4-3 인정서 본문은 PDF p.78~81,PDF p078~081 '3. 고등학교 이하 교육기관 유학생' 섹션,OK_WITH_NOTE
visa,40,1회부여 체류기간,2년 (D-4 상한 준용),(매뉴얼 별도 명시 없음 - D-4 상한 2년 내),PDF p081~083에 D-4-5 한식조리연수 발급내용 별도 명시 없음. 상한값만 표기는 오해 소지,PDF p081~083 직접 확인,MINOR_FIX
visa,40,출처,D-4-5 한식조리연수생 (p. 73~76),p.81~83,D-4-5 본문은 PDF p.81~83,PDF p081~083 '4. 한식조리연수생' 섹션,MINOR_FIX
visa,41,출처,D-4-6 우수사설 교육기관 외국인 연수 (p. 76~78),p.83~87,D-4-6 본문은 PDF p.83~87,PDF p083~087 '5. 우수사설 교육기관 외국인 연수' 섹션,OK_WITH_NOTE
visa,42,출처,D-4 그 밖의 연수 (p. 78~81),p.87,D-4 '6. 그 밖의 연수' 섹션은 PDF p.87,PDF p087 '6. 그 밖의 연수를 받고자 하는 자' 섹션,OK_WITH_NOTE
visa,43,절차,,재외공관 사증발급 신청 → 발급 → 입국 (국내 지사·지국 개설된 보도기관 파견자에 한해 공관장 재량),PDF p089 공관장 재량 발급 흐름,PDF p089 '공관장 재량으로 발급할 수 있는 사증' 섹션,MINOR_FIX
visa,43,1회부여 체류기간,2년 (체류기간 상한); 공관장 재량 발급은 1년 이하 단수사증,1년 이하 (공관장 재량 발급),체류상한 컬럼 별도 있음. 1회 부여 체류기간 = 실제 부여값,PDF p089 '체류기간 1년 이하의 단수사증',MINOR_FIX
visa,43,출처,D-5 취재 (p. 81~83),p.89~90,D-5 취재 본문은 PDF p.89~90,PDF p089~090 'D-5 취재' 섹션,MINOR_FIX
visa,66,출처,E-2 회화지도 (p. 134),E-2 회화지도 / 공관장 재량 (p. 143~146),PDF상 E-2 회화지도 본문은 p.143(활동범위)~p.146(첨부서류). 'p.134'는 E-1 영역으로 오기.,"PDF p.143 line 1 '회화지도(E-2)', p.145 line 31 'E-2-2 부여한 단수사증', p.146 line 1~6 첨부서류",MINOR_FIX
