source_row_number,review_priority,review_reason,suggested_action,visa_code,visa_name_ko,item_type,section_title,petition_type,subsection_type,subtype_or_program,applicant_context,eligibility,target_persons,common_documents,mandatory_documents,other_documents,requirements,procedure,restrictions,exceptions,fees,duration_or_validity,quota_or_limit,score_criteria,table_summary,table_rows,normalized_text
2,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-1,외교,visa_rule,A-1 외교 / 사증발급,사증발급,대상,,,"외국정부의 외교사절단이나 영사기관의 구성원 (대사, 공사, 참사관, 서기관, 총영사, 영사 등) 조약 또는 국제관행에 따라 외교사절과 동등한 특권과 면제를 받는 자 (UN 사무총장, 사무차장, 전문기구 사무국장, 국가원수, 각료, 양원의장, 정부주최 회의 외국정부 대표단 등) 상기자의 가족 (주재 외교관과 세대를 같이 하는 배우자, 자녀, 부모 등)",,,"사증발급신청서 (별지 제17호 서식) 여권, 표준규격사진 1매, 수수료 파견·재직 증명 서류 또는 해당국 외교부장관의 협조공한 동반가족의 경우 가족관계증명서, 출생증명서 등",,,,,,,재임 기간,,,,,
5,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-2,공무,visa_rule,A-2 공무 / 사증발급,사증발급,대상,,,"외국정부 또는 국제기구의 공무를 수행하는 자: 외교사절단의 사무·기술·노무직원, 영사기관 직원, 대한민국 본부 국제기구 직원, 외국정부/국제기구 한국지사 직원, 한국 정부와 공적 업무로 파견된 자, 한국 정부 또는 국제기구 주최 회의 참가자 상기자의 가족 (동일 세대 구성원)",,,"사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료 파견·재직 증명 서류 또는 외교부장관·소속부처 장관의 공한",,,,관용여권 또는 신분증명서 소지 (일반여권은 공무수행자/국제기구 근무자와 그 가족에 한함),,,공무수행기간,,,,,
6,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,A-3,협정,visa_rule,A-3 협정 / 사증발급,사증발급,대상,"A-3-99 (Fulbright 협정 대상자에 대한 복수사증, 체류기간 및 유효기간은 한미교류재단 협조공한 상의 장학금 수혜기간)",,"협정에 의해 외국인등록이 면제 또는 면제할 필요가 있다고 인정되는 자 (SOFA, Fulbright 등) 상기자의 가족",,,"사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료 파견·재직 증명 서류 또는 외교부장관·소속부처 장관의 공한",,,,,,,신분존속기간 또는 협정상의 체류기간,,,,,
8,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,B-2,관광통과,visa_rule,B-2 관광통과,사증발급,대상,,관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자,"출입국관리법 제7조에 따라 사증 없이 입국할 수 있는 자 재입국허가를 받은 사람 또는 재입국허가가 면제된 사람으로서 그 허가 또는 면제받은 기간이 끝나기 전에 입국하는 사람 대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 따라 면제대상이 되는 사람 국제친선, 관광 또는 대한민국의 이익 등을 위하여 입국하는 사람으로서 대통령령으로 정하는 바에 따라 따로 입국허가를 받은 사람 난민여행증명서를 발급받고 출국한 후 그 유효기간이 끝나기 전에 입국하는 사람",관광·통과 목적 입국자,,,,,,사증면제협정 또는 관광통과 목적으로 입국한 자에 대하여는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 아니함 체류기간이 협정기간 또는 법무부장관이 따로 정하는 기간을 초과하는 경우에는 반드시 사증을 발급받아 입국하여야 함,,,법무부장관이 따로 정하는 기간,,,"무사증입국 허가대상 국가 일람표 (아시아 10국, 북미 2국, 남미 5국, 유럽 11국, 대양주 13국, 아프리카 5국, 외교관용여권만 적용 아시아 2국)","일본 90일, 미국 90일, 캐나다 6개월, 호주 90일 마카오 90일, 홍콩 90일, 타이완 90일, 쿠웨이트 90일 사우디아라비아 30일, 바레인 30일, 브루나이 30일, 오만 30일, 카타르 30일 크로아티아 90일, 슬로베니아 90일, 세르비아 90일, 에콰도르 90일 레바논·인도네시아 30일 (외교관용여권 한정) 예멘 지정취소 2014.7.1., 이집트 지정취소 2018.9.1.",
14,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3 단기방문 / 전자사증,전자사증,대상,전자사증,해외 우수인력 및 관광객 유치지원 등을 위한 사증발급 절차 간소화의 일환으로 재외공관 방문 없이 온라인으로 사증을 발급 받을 수 있는 제도,"전문인력 및 전문인력의 동반가족 (교수 E-1, 연구 E-3, 기술지도 E-4, 전문직업 E-5, 첨단과학기술분야 고용추천서(GOLD CARD)를 발급받은 특정활동 E-7 자격 외국인) 및 그 배우자·미성년 자녀 외국인 환자와 동반가족 및 간병인 (의료관광 우수유치기관 초청) 상용목적 빈번 출입국자 (외국인 지문확인시스템 도입 후 3회 이상 단기방문 자격 입국, 국내 체류 중 불법체류·범법 없음, 국내 기업의 초청) 단체관광객 (재외공관장이 지정한 국외 전담여행사가 사증신청 대행)",,,"상용목적 빈번 출입국자 - 사증발급신청서, 여권, 사진, 수수료 - 초청장(초청사유와 귀국보장 각서내용 포함) - 초청자 신분증 사본",,,,,,,"상용목적 빈번 출입국자: 일반상용(C-3-4) 체류기간 90일 이내, 유효기간 3월 단수사증",,,,,
22,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,C-3,단기방문,visa_rule,C-3 중국 국민 복수사증,사증발급,대상,복수사증,중국 국민(C-3-1~C-3-9. 단 C-3-2 제외) 복수사증 발급 대상자,"유효기간 5년(체류기간 90일) 대상 대학(전문대 포함) 강사 등 교원 및 초·중·고교 교사 (조교수 이상은 10년 복수사증) 공관장이 인정한 유명 예술가, 연예인 및 운동선수 중국인 단체 관광객 인솔 여행사의 가이드로 3회 이상 입국 사실 있는 자 우리나라 방문경력 있는 자 (무사증·상륙허가 제외, 의료관광 진료비 200만원 초과 시 인정) 연간 교역액 미화 3만 불 이상 사기업의 관리자 이상 또는 2년 이상 정규 직원 부동산·금융재산·사업체 등 개인재산 200만 위안 이상 보유자 국내 취항 항공사·선사 임직원 국제신용카드 우수고객, 즈마신용점수 780점 이상, 유니온페이 프리미엄카드 소지자 월 5,000위안 이상 소득자 17세 미만 55세 이상자 우리나라 이외 4년제 대학 재학생·졸업생 (전자인증 학력인증서 제출) 국내 콘도미니엄 회원권(3,000만원 이상) 구매자 5년 복수사증 소지자의 배우자·미성년 자녀·부모 및 배우자의 부모 유효기간 10년(체류기간 90일) 대상 의사·변호사·교수·공사기업 대표 등 전문직업인 (사기업 자본금 50억 이상) 국내 4년제 대학 학사 이상 또는 해외 석사학위 이상 소지자 중국 공무원 또는 공무보통여권 소지자 100만불 이상 우리나라 투자기업 임직원 중국기업연합회 선정 500대 기업 과장급 이상 또는 6개월 이상 재직자 베이징·상하이·광저우·선전·쑤저우·샤먼·톈진·난징·항저우·닝보·우한·창사·칭다오·충칭 호구자 (C-3-91) OECD 22개국 방문사증 소지 및 방문 경력자",,"- 사증발급신청서, 여권, 사진, 수수료","추가서류 (재정능력 또는 신분 입증서류 예시, 최대 2종) - 재직증명서, 최근 6개월 신용카드 사용내역서, 사회보험 가입증명서, 납세증명서, 대학졸업증명서, 영주권 등 영주·장기체류자 입증서류, 특정단체 초청장, 연금수령 입증서류, 관리자 또는 정규직원 재직증명서, 아국과의 교역 내역 자료 등",,,"연령, 출입국기록 등 여권 또는 자체 전산조회로 심사 가능한 경우 추가 서류 징구 자제 신분·학력·도시지역 호구 등 사증 신청 시 관련 확인서류 외 재정능력 입증서류 징구 자제",,,,"단기방문(C-3-2, C-3-10 제외), 체류기간 90일, 유효기간 5년 또는 10년 일반관광(C-3-9)은 신분 확실하거나 불법취업 가능성이 없으면 90일, 그 밖은 30일 이내",,,OECD 방문사증 인정 22개국,"오스트리아, 벨기에, 덴마크, 프랑스, 독일, 그리스, 아이슬란드, 아일랜드, 이탈리아, 룩셈부르크, 네덜란드, 뉴질랜드, 노르웨이, 포르투갈, 스페인, 스웨덴, 스위스, 영국, 미국, 캐나다, 호주, 핀란드",
23,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3 한·몽골 사증발급 간소화 협정,사증발급,대상,복수사증,한·몽골 사증발급 간소화 협정대상자 (C-3-1~C-3-9) 복수사증 대상자,"우리나라 방문경력 있는 자 (무사증·상륙허가 제외) 공무원 또는 국영기업체 임직원(과장급 이상) 대한민국 취항 정기 항공사·선사 임직원(과장급 이상) 국제신용카드 우수고객 자원·에너지 개발·판매 등을 위한 기업 설치, 국내 공사기관 초청 상담·계약 활동자 국적취득자의 부모·자녀, 국민의 배우자 또는 정상적 혼인 1년 이상 국민의 배우자의 부모·미성년 자녀 단기방문(C-3) 복수비자 소지자의 배우자 및 미성년 자녀 의사·변호사·교수 등 전문직 종사자 공관장 인정 언론기관 1년 이상 재직자(기자·PD·편집인 등) 연간 납세실적 5억 투그릭 이상 기업 또는 납세실적 100대 우수기업 과장급 이상 1년 이상 재직자 대한민국 전문학사 이상 또는 해외 석사학위 이상 소지자 최근 6개월 사회보험 월평균 급여가 도시근로자 월평균임금 2배 이상 (공관장 인정) 유명 예술가·연예인·운동선수 (공관장 인정) 개인 자산 5억 투그릭 이상 보유자 배우자나 직계혈족이 1년 이상 장기체류 중인 자 OECD 22개국 방문사증 소지 및 방문 경력자",,,"- 사증발급신청서, 여권, 사진, 수수료 - 별첨 제출서류 참고 (공관 실정에 맞게 지정 운영)",,,,,,,"단기방문(C-3-1~C-3-9), 체류기간 90일, 유효기간 3년 복수비자 유효기간 3년 복수사증 발급 후 과거 체류실태가 건전한 자는 체류기간 90일, 유효기간 5년 부여",,,,,
24,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3 동남아국가 복수사증,사증발급,대상,복수사증,"동남아국가 국민 복수사증 발급(C-3-1~C-3-9, 단 C-3-2 제외) 대상국가: 미얀마, 캄보디아, 스리랑카, 인도네시아, 라오스, 네팔, 파키스탄, 필리핀, 베트남, 인도, 방글라데시","유효기간 5년(체류기간 30일) 대상 우리나라 방문경력 있는 자 공무원, 국영기업체, 대한민국 취항 정기 항공사·선사 임직원 연간 미화 8천 달러 이상 소득자 또는 국제신용카드 우수고객 자원·에너지 개발·판매 회사 설치, 국내 공사기관 초청 상담·계약 활동자 정부·공공기관 초청 국제행사·국제회의 참가자 및 주요인사 기업체 대표, 상장회사 관리직 직원(1년 이상) 기자·PD·편집인 등 언론기관 종사자(1년 이상) 대학 강사 등 교원, 초·중·고교 교사(조교수 이상은 10년 복수사증), 공관장 인정 유력인사·예술가·운동가·작가·연예인 퇴직 후 연금수령 55세 이상자 국내 전문대학 졸업자 5년 복수사증 소지자의 배우자 및 미성년 자녀·부모·배우자의 부모 개인재산 20만불 이상 보유자 65세 이상자 유효기간 10년(체류기간 90일) 대상 의사·변호사·회계사·교수·공사기업 대표 등 전문직업인 (사기업 자본금 50억 이상) 대한민국 4년제 대학 학사 이상 또는 해외 석사학위 이상 소지자 중앙부처 과장급 이상 공무원 및 그 가족 현직 국회의원 OECD 22개국 방문사증 소지 및 방문 경력자 베트남 하노이, 호치민, 다낭 호구자 100만불 이상 투자기업 3년 이상 근무 정규직원 베트남·필리핀·인도네시아 100대 기업 및 캄보디아·미얀마·라오스 30대 기업 과장급 이상 직원 10년 복수사증 소지자의 배우자·미성년 자녀·부모·배우자의 부모",,,- 첨부서류 참고 (공관별 실정에 맞게 제출서류 지정 운영),,,,,,,"5년 복수사증: 단기방문(C-3-2, C-3-10 제외), 체류기간 30일 10년 복수사증: 단기방문(C-3-2, C-3-10 제외), 체류기간 90일 이내 일반상용·관광 목적 신청 시에는 30일 이내로 발급하는 등 탄력적 부여",,,,,
25,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3 자원외교국가 복수사증,사증발급,대상,복수사증,"자원외교국가 국민 복수사증 발급(C-3-1 또는 C-3-4) 대상국가: 러시아, 요르단, 투르크메니스탄, 우즈베키스탄, 카자흐스탄, 알제리, 아제르바이잔, 볼리비아, 에콰도르, 베네수엘라, 앙골라, 나이지리아, 콩고, 리비아, 우크라이나, 벨라루스, 조지아","공무원 또는 국영기업체 임직원 대한민국 취항 정기 항공사·선사 임직원 국제신용카드 우수고객 최근 2년 이내 한국을 4회 이상 또는 통산 5회 이상 방문자 러시아는 한-러 단기 방문사증 발급 간소화 협정에 따라 최근 1년 이내 1회 이상 입국자도 대상 자원·에너지 개발·판매 등을 위한 기업 설치, 국내 공사기관 초청 상담·계약 활동자 단기방문(C-3-1, C-3-4, C-3-9) 복수사증 소지자의 배우자 및 미성년 자녀 (종전 C-2+C-3 복수 소지자 포함) 의사·변호사·교수 등 전문직 종사자 공관장 인정 언론기관 1년 이상 재직자 납세실적 100대 우수기업 과장급 이상 1년 이상 재직자 대한민국 4년제 대학 학사 이상 또는 해외 석사학위 이상 소지자",,"- 사증발급신청서, 여권, 사진, 수수료",- 별첨2 제출서류 참고 (공관별 실정에 맞게 지정 운영),,,,,,,"단기방문(C-3-1~C-3-9. 단 C-3-2 제외), 유효기간 1년, 체류기간 30일",,,,,
26,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,C-3,단기방문,visa_rule,C-3-1 결혼이민자 및 국적취득자 가족 특례,사증발급,대상,C-3-1,결혼이민자 및 대한민국 국적취득자의 가족에 대한 특례(C-3-1),"외국국적을 소지한 국민의 배우자 (단, 결혼동거 목적 신청은 발급대상 제외) 대한민국 국민과 결혼하여 양국에 혼인신고를 마치고 1년 이상 정상적인 혼인관계를 유지하고 있는 자의 부모 및 미성년 자녀 대한민국 국적을 취득한 자의 부모 및 자녀 (결혼이민자 불문)",,,"- 사증발급신청서, 여권 사본 - 가족관계를 입증할 수 있는 서류",,,,국민의 배우자가 결혼동거 목적으로 신청할 경우 발급대상 제외,,,"체류자격 단기일반(C-3-1), 체류기간 90일, 유효기간 5년 복수사증",,,,,
